algorithm,start,end,time,constant,linear
50000,1418769703.826,1418769703.914,0.0880000591,0.0000018,0.09
60000,1418769608.126,1418769608.24,0.114000082,,0.108
70000,1418769608.365,1418769608.489,0.1240000725,,0.126
80000,1418769608.625,1418769608.778,0.1530001163,,0.144
90000,1418769608.933,1418769609.104,0.1710000038,,0.162
100000,1418769609.292,1418769609.481,0.1889998913,,0.18
110000,1418769609.672,1418769609.87,0.1979999542,,0.198
120000,1418769705.955,1418769706.176,0.2210001945,,0.216
130000,1418769610.514,1418769610.744,0.2300000191,,0.234
140000,1418769610.974,1418769611.227,0.253000021,,0.252
